Data_Hora_Evento,Numero_Satelites,HDOP
2025-06-27 14:07:00,12.0,1.0
2025-06-27 14:07:36,12.0,1.0
2025-06-27 14:10:00,12.0,1.0
2025-06-27 14:13:00,12.0,1.0
2025-06-27 14:16:00,12.0,1.0
2025-06-27 14:17:50,12.0,1.0
2025-06-27 14:18:54,12.0,1.0
2025-06-27 14:19:00,12.0,1.0
2025-06-27 14:19:22,12.0,1.0
2025-06-27 14:21:45,12.0,1.0
2025-06-27 14:22:00,12.0,1.0
2025-06-27 14:23:00,12.0,1.0
2025-06-27 14:23:18,12.0,0.0
2025-06-27 14:23:18,12.0,1.0
2025-06-27 14:23:24,12.0,1.0
2025-06-27 14:24:08,12.0,1.0
2025-06-27 14:25:01,12.0,1.0
2025-06-27 14:25:01,12.0,1.0
2025-06-27 14:27:31,12.0,1.0
2025-06-27 14:27:36,12.0,1.0
2025-06-27 14:27:40,12.0,1.0
2025-06-27 14:28:01,12.0,1.0
2025-06-27 14:28:58,12.0,1.0
2025-06-27 14:29:26,12.0,1.0
2025-06-27 14:29:59,12.0,1.0
2025-06-27 14:31:01,12.0,1.0
2025-06-27 14:31:34,12.0,1.0
2025-06-27 14:31:38,12.0,1.0
2025-06-27 14:33:03,12.0,1.0
2025-06-27 14:34:01,12.0,1.0
2025-06-27 14:35:59,12.0,1.0
2025-06-27 14:37:01,12.0,1.0
2025-06-27 14:39:38,12.0,1.0
2025-06-27 14:39:52,12.0,1.0
2025-06-27 14:40:01,12.0,1.0
2025-06-27 14:40:31,12.0,1.0
2025-06-27 14:40:42,12.0,1.0
2025-06-27 14:41:20,12.0,1.0
2025-06-27 14:41:53,12.0,1.0
2025-06-27 14:42:23,12.0,1.0
2025-06-27 14:43:01,12.0,1.0
2025-06-27 14:43:30,12.0,1.0
2025-06-27 14:46:01,12.0,1.0
2025-06-27 14:46:09,12.0,1.0
2025-06-27 14:46:12,12.0,1.0
2025-06-27 14:46:16,12.0,1.0
2025-06-27 14:46:41,12.0,1.0
2025-06-27 14:47:40,12.0,1.0
2025-06-27 14:47:44,12.0,1.0
2025-06-27 14:48:17,12.0,1.0
2025-06-27 14:48:19,12.0,1.0
2025-06-27 14:48:27,12.0,1.0
2025-06-27 14:49:01,12.0,1.0
2025-06-27 14:49:10,12.0,1.0
2025-06-27 14:49:10,12.0,1.0
2025-06-27 14:49:11,12.0,1.0
2025-06-27 14:49:11,12.0,1.0
2025-06-27 14:50:14,12.0,1.0
2025-06-27 15:49:05,12.0,1.0
2025-06-27 16:49:05,12.0,1.0
2025-06-27 17:49:05,12.0,1.0
2025-06-27 18:49:05,12.0,1.0
2025-06-27 19:49:05,12.0,1.0
2025-06-27 20:49:05,12.0,1.0
2025-06-27 21:49:05,12.0,1.0
2025-06-27 22:49:05,11.0,1.0
2025-06-27 23:49:05,9.0,1.0
2025-06-28 00:49:05,12.0,1.0
2025-06-28 01:49:05,10.0,1.0
2025-06-28 02:49:05,12.0,1.0
2025-06-28 03:49:05,12.0,1.0
2025-06-28 04:49:05,12.0,1.0
2025-06-28 05:49:05,10.0,1.0
2025-06-28 06:49:05,10.0,1.0
2025-06-28 07:49:05,12.0,1.0
2025-06-28 08:49:05,12.0,1.0
2025-06-28 09:49:05,9.0,1.0
2025-06-28 10:49:05,12.0,1.0
2025-06-28 11:49:05,12.0,1.0
2025-06-28 12:49:05,11.0,1.0
2025-06-28 13:49:05,12.0,1.0
2025-06-28 14:49:05,10.0,1.0
2025-06-28 15:49:05,9.0,1.0
2025-06-28 16:49:05,11.0,1.0
2025-06-28 17:49:05,11.0,1.0
2025-06-28 18:49:05,12.0,1.0
2025-06-28 19:49:05,9.0,1.0
2025-06-28 20:49:05,11.0,1.0
2025-06-28 21:49:05,12.0,1.0
2025-06-28 22:49:05,12.0,1.0
2025-06-28 23:49:05,11.0,1.0
2025-06-29 00:49:05,10.0,1.0
2025-06-29 01:49:05,12.0,1.0
2025-06-29 02:49:05,12.0,0.0
2025-06-29 03:49:05,12.0,1.0
2025-06-29 04:49:05,12.0,1.0
2025-06-29 05:49:05,12.0,1.0
2025-06-29 06:49:05,10.0,1.0
2025-06-29 07:49:05,12.0,1.0
2025-06-29 08:49:05,10.0,1.0
2025-06-29 09:49:05,12.0,1.0
2025-06-29 10:49:05,12.0,1.0
2025-06-29 11:49:05,12.0,1.0
2025-06-29 12:49:05,8.0,1.0
2025-06-29 13:49:05,9.0,1.0
2025-06-29 14:26:08,9.0,0.0
2025-06-29 14:49:05,12.0,1.0
2025-06-29 15:49:05,12.0,1.0
2025-06-29 16:49:05,6.0,1.0
2025-06-29 17:49:05,12.0,1.0
2025-06-29 18:49:05,10.0,1.0
2025-06-29 19:49:05,10.0,1.0
2025-06-29 20:49:05,8.0,1.0
2025-06-29 21:49:05,8.0,1.0
2025-06-29 22:49:05,11.0,1.0
2025-06-29 23:49:05,11.0,1.0
2025-06-30 00:49:05,12.0,1.0
2025-06-30 01:49:05,12.0,1.0
2025-06-30 02:49:05,12.0,1.0
2025-06-30 03:49:05,9.0,1.0
2025-06-30 04:49:05,11.0,1.0
2025-06-30 05:49:05,11.0,1.0
2025-06-30 05:59:37,11.0,0.0
2025-06-30 05:59:37,11.0,0.0
2025-06-30 05:59:49,10.0,1.0
2025-06-30 05:59:49,10.0,1.0
2025-06-30 06:01:31,12.0,1.0
2025-06-30 06:01:40,12.0,1.0
2025-06-30 06:02:46,12.0,1.0
2025-06-30 06:02:54,12.0,1.0
2025-06-30 06:02:56,12.0,1.0
2025-06-30 06:04:17,12.0,1.0
2025-06-30 06:04:19,12.0,1.0
2025-06-30 06:04:22,12.0,1.0
2025-06-30 06:04:32,12.0,1.0
2025-06-30 06:04:34,12.0,1.0
2025-06-30 06:04:36,12.0,1.0
2025-06-30 06:04:38,12.0,1.0
2025-06-30 06:04:40,12.0,1.0
2025-06-30 06:04:43,12.0,1.0
2025-06-30 06:05:46,12.0,1.0
2025-06-30 06:08:04,12.0,1.0
2025-06-30 06:08:46,12.0,1.0
2025-06-30 06:09:17,12.0,1.0
2025-06-30 06:10:17,12.0,1.0
2025-06-30 06:10:35,12.0,1.0
2025-06-30 06:10:58,12.0,1.0
2025-06-30 06:11:09,12.0,1.0
2025-06-30 06:11:46,12.0,1.0
2025-06-30 06:12:02,12.0,1.0
2025-06-30 06:14:46,12.0,1.0
2025-06-30 06:16:08,12.0,1.0
2025-06-30 06:17:46,12.0,1.0
2025-06-30 06:19:16,12.0,1.0
2025-06-30 06:19:56,12.0,1.0
2025-06-30 06:20:03,12.0,1.0
2025-06-30 06:20:10,12.0,1.0
2025-06-30 06:20:46,12.0,1.0
2025-06-30 06:21:01,12.0,1.0
2025-06-30 06:21:40,12.0,1.0
2025-06-30 06:21:53,12.0,1.0
2025-06-30 06:22:15,12.0,1.0
2025-06-30 06:22:52,12.0,1.0
2025-06-30 06:23:46,12.0,1.0
2025-06-30 06:24:07,12.0,1.0
2025-06-30 06:26:46,12.0,1.0
2025-06-30 06:28:54,12.0,1.0
2025-06-30 06:29:05,12.0,1.0
2025-06-30 06:30:06,12.0,1.0
2025-06-30 06:29:46,12.0,1.0
2025-06-30 06:32:46,12.0,1.0
2025-06-30 06:35:46,12.0,1.0
2025-06-30 06:38:46,12.0,1.0
2025-06-30 06:40:38,12.0,1.0
2025-06-30 06:40:40,12.0,1.0
2025-06-30 06:40:42,12.0,1.0
2025-06-30 06:40:44,12.0,1.0
2025-06-30 06:40:50,12.0,1.0
2025-06-30 06:40:52,12.0,1.0
2025-06-30 06:40:57,12.0,1.0
2025-06-30 06:41:46,12.0,1.0
2025-06-30 06:43:57,12.0,1.0
2025-06-30 06:44:46,12.0,1.0
2025-06-30 06:44:59,12.0,1.0
2025-06-30 06:47:46,12.0,1.0
2025-06-30 06:50:39,12.0,1.0
2025-06-30 06:50:46,12.0,1.0
2025-06-30 06:53:13,12.0,1.0
2025-06-30 06:53:21,12.0,1.0
2025-06-30 06:53:46,12.0,1.0
2025-06-30 06:54:00,12.0,1.0
2025-06-30 06:54:40,12.0,1.0
2025-06-30 06:54:43,12.0,1.0
2025-06-30 06:55:02,12.0,1.0
2025-06-30 06:55:07,12.0,1.0
2025-06-30 06:55:11,12.0,1.0
