Data/Hora Evento,Tipo Mensagem,Motion Status,Diferença entre GTERI (IGN),Diferença entre GTERI (IGF)
2025-06-13 07:53:50,GTERI,22,180.0,
2025-06-13 07:56:50,GTERI,22,180.0,
2025-06-13 07:59:50,GTERI,22,180.0,
2025-06-13 08:02:50,GTERI,22,180.0,
2025-06-13 08:05:50,GTERI,22,180.0,
2025-06-13 08:08:50,GTERI,22,180.0,
2025-06-13 08:11:50,GTERI,22,180.0,
2025-06-13 08:14:50,GTERI,22,180.0,
2025-06-13 08:17:51,GTERI,22,181.0,
2025-06-13 08:20:50,GTERI,22,179.0,
2025-06-13 08:23:50,GTERI,22,180.0,
2025-06-13 08:26:50,GTERI,22,180.0,
2025-06-13 08:29:50,GTERI,22,180.0,
2025-06-13 08:32:50,GTERI,22,180.0,
2025-06-13 08:35:50,GTERI,22,180.0,
2025-06-13 08:38:50,GTERI,22,180.0,
2025-06-13 08:41:50,GTERI,22,180.0,
2025-06-13 08:44:50,GTERI,22,180.0,
2025-06-13 08:47:50,GTERI,22,180.0,
2025-06-13 08:50:50,GTERI,22,180.0,
2025-06-13 08:53:50,GTERI,22,180.0,
2025-06-13 08:55:22,GTIGF,,,
2025-06-13 08:55:22,GTERI,12,,0.0
2025-06-13 09:55:12,GTERI,11,,3590.0
2025-06-13 10:55:12,GTERI,11,,3600.0
2025-06-13 10:56:14,GTIGN,,,
2025-06-13 10:56:22,GTERI,22,8.0,
2025-06-13 10:59:18,GTERI,22,176.0,
2025-06-13 11:02:18,GTERI,22,180.0,
2025-06-13 11:05:18,GTERI,22,180.0,
2025-06-13 11:08:19,GTERI,22,181.0,
2025-06-13 11:11:18,GTERI,22,179.0,
2025-06-13 11:14:18,GTERI,22,180.0,
2025-06-13 11:17:18,GTERI,22,180.0,
2025-06-13 11:20:19,GTERI,22,181.0,
2025-06-13 11:23:19,GTERI,22,180.0,
2025-06-13 11:23:28,GTIGF,,,
2025-06-13 11:23:29,GTERI,12,,1.0
2025-06-13 11:39:01,GTIGN,,,
2025-06-13 11:39:14,GTERI,22,13.0,
2025-06-13 11:42:09,GTERI,22,175.0,
2025-06-13 11:45:09,GTERI,22,180.0,
2025-06-13 11:48:10,GTERI,22,181.0,
2025-06-13 11:51:09,GTERI,22,179.0,
2025-06-13 11:54:09,GTERI,22,180.0,
2025-06-13 11:57:09,GTERI,22,180.0,
2025-06-13 12:00:09,GTERI,22,180.0,
2025-06-13 12:03:09,GTERI,22,180.0,
2025-06-13 12:06:09,GTERI,22,180.0,
2025-06-13 12:09:09,GTERI,22,180.0,
2025-06-13 12:12:09,GTERI,22,180.0,
2025-06-13 12:15:09,GTERI,22,180.0,
2025-06-13 12:18:09,GTERI,22,180.0,
2025-06-13 12:21:10,GTERI,22,181.0,
2025-06-13 12:24:09,GTERI,22,179.0,
2025-06-13 12:27:09,GTERI,22,180.0,
2025-06-13 12:30:09,GTERI,22,180.0,
2025-06-13 12:33:09,GTERI,22,180.0,
2025-06-13 12:36:09,GTERI,22,180.0,
2025-06-13 12:39:10,GTERI,22,181.0,
2025-06-13 12:42:09,GTERI,22,179.0,
2025-06-13 12:45:11,GTERI,22,182.0,
2025-06-13 12:48:11,GTERI,22,180.0,
2025-06-13 12:51:11,GTERI,22,180.0,
2025-06-13 12:54:12,GTERI,22,181.0,
2025-06-13 12:57:12,GTERI,22,180.0,
2025-06-13 13:00:12,GTERI,22,180.0,
2025-06-13 13:03:12,GTERI,22,180.0,
2025-06-13 13:05:50,GTIGF,,,
2025-06-13 13:05:50,GTERI,12,,0.0
2025-06-13 14:03:10,GTIGN,,,
2025-06-13 14:03:14,GTERI,22,4.0,
2025-06-13 14:06:17,GTERI,22,183.0,
