bloco,ordem_no_bloco,latitude,longitude,data_hora,hodometro_atual,motion_status
1,177,-23.329606,-51.177442,2025-07-08 23:09:21,3.0,21.0
1,178,-23.329606,-51.177442,2025-07-08 23:11:35,3.0,21.0
1,179,-23.329606,-51.177442,2025-07-08 23:14:35,3.0,21.0
1,180,-23.329606,-51.177442,2025-07-08 23:16:32,3.0,21.0
1,181,-23.329606,-51.177442,2025-07-08 23:17:35,3.0,21.0
1,182,-23.329606,-51.177442,2025-07-08 23:20:35,3.0,21.0
1,183,-23.329606,-51.177442,2025-07-08 23:23:35,3.0,21.0
1,184,-23.329606,-51.177442,2025-07-08 23:26:35,3.0,21.0
1,185,-23.329606,-51.177442,2025-07-08 23:29:35,3.0,21.0
1,186,-23.329606,-51.177442,2025-07-08 23:32:35,3.0,21.0
1,187,-23.329606,-51.177442,2025-07-08 23:35:35,3.0,21.0
1,188,-23.329606,-51.177442,2025-07-08 23:38:35,3.0,21.0
1,189,-23.329606,-51.177442,2025-07-08 23:41:35,3.0,21.0
1,190,-23.329606,-51.177442,2025-07-08 23:44:35,3.0,21.0
1,191,-23.329606,-51.177442,2025-07-08 23:47:35,3.0,21.0
1,192,-23.329606,-51.177442,2025-07-08 23:50:35,3.0,21.0
1,193,-23.329606,-51.177442,2025-07-08 23:53:35,3.0,21.0
1,194,-23.329606,-51.177442,2025-07-08 23:56:35,3.0,21.0
1,195,-23.329606,-51.177442,2025-07-08 23:59:35,3.0,21.0
1,196,-23.329606,-51.177442,2025-07-09 00:02:35,3.0,21.0
1,197,-23.329606,-51.177442,2025-07-09 00:05:35,3.0,21.0
1,198,-23.329606,-51.177442,2025-07-09 00:08:35,3.0,21.0
1,199,-23.329606,-51.177442,2025-07-09 00:11:35,3.0,21.0
1,200,-23.329606,-51.177442,2025-07-09 00:14:35,3.0,21.0
1,201,-23.329606,-51.177442,2025-07-09 00:17:35,3.0,21.0
1,202,-23.329606,-51.177442,2025-07-09 00:20:35,3.0,21.0
1,203,-23.329606,-51.177442,2025-07-09 00:23:35,3.0,21.0
1,204,-23.329606,-51.177442,2025-07-09 00:26:35,3.0,21.0
1,205,-23.329606,-51.177442,2025-07-09 00:29:35,3.0,21.0
